NoteOn Events (time_stamp, midi_note, velocity):
4.94256872083,69,0
5.05574442292,42,0
5.10979848958,60,0
5.34797422083,67,0
5.44594721667,40,0
5.52533912708,42,0
5.55067697083,41,0
5.65709591458,60,0
5.67905537917,72,0
5.69256889583,65,0
5.75337972083,67,0
5.78885270208,36,0
5.91554192083,60,0
5.94256895417,42,0
5.95608247083,64,0
6.05912303542,62,0
6.05912303542,41,0
6.05912303542,53,0
6.0810825,67,0
6.08277168958,69,0
6.14358251458,42,0
6.20608252917,36,0
6.2533798375,60,0
6.41892041667,64,0
6.50337989583,42,0
6.77702860833,53,0
6.91385296458,40,0
6.94425837708,62,0
6.94763675625,60,0
6.99155568542,42,0
7.0844611125,64,0
7.08952868125,72,0
7.20101519375,67,0
7.22973141667,48,0
7.22973141667,76,0
7.24493412292,36,0
7.35979901458,42,0
7.44763687292,65,0
7.53716392083,62,0
7.560812575,67,0
7.5709477125,72,0
7.5912179875,60,0
7.5912179875,79,0
7.5912179875,48,0
7.61317745208,42,0
7.63682610625,36,0
7.763515325,53,0
7.83277209792,77,0
7.92398833542,42,0
8.03547484792,76,0
8.1587856875,60,0
8.33615059375,40,0
8.4020289875,42,0
8.44088034792,41,0
8.44088034792,72,0
8.56588037708,72,0
8.61148849583,67,0
8.6756777,36,0
8.73986690417,42,0
8.89189396667,65,0
8.91554262083,67,0
8.95608317083,74,0
8.95608317083,53,0
8.95608317083,41,0
8.98142101458,42,0
9.03378589167,60,0
9.0506777875,36,0
9.21621836667,72,0
9.22635350417,67,0
9.24155621042,60,0
9.26520486458,76,0
9.26520486458,60,0
9.34628596458,42,0
9.425677875,65,0
9.46790761458,74,0
9.47973194167,67,0
9.53885357708,59,0
9.53885357708,36,0
9.63006981458,40,0
9.70777253542,42,0
9.81925904792,57,0
9.8412185125,64,0
9.87331311458,64,0
9.87331311458,69,0
9.90371852708,72,0
9.93750231875,57,0
9.93750231875,72,0
9.96115097292,36,0
10.033786125,42,0
10.1131780354,69,0
10.1672321021,45,0
10.1672321021,52,0
10.1672321021,76,0
10.2077726521,72,0
10.2179077896,42,0
10.3108132167,36,0
10.50000245,65,0
10.5016916396,69,0
10.5084483979,74,0
10.6064213938,42,0
10.7500025083,65,0
10.9273674146,74,0
10.9341241729,62,0
11.0337863583,40,0
11.0337863583,60,0
11.0793944771,42,0
11.1300701646,69,0
11.1925701792,65,0
11.3074350708,72,0
11.331083725,74,0
11.3327729146,38,0
11.3665567063,36,0
11.4324351,42,0
11.5354756646,69,0
11.5709486458,69,0
11.5878405417,69,0
11.6233135229,50,0
11.6233135229,38,0
11.6570973146,42,0
11.7567595,74,0
11.7567595,36,0
11.817570325,67,0
11.8631784438,55,0
12.0574352458,42,0
12.1739893271,71,0
12.3108136833,59,0
12.466219125,40,0
12.4729758833,59,0
12.5574353625,42,0
12.6520299792,67,0
12.7179083729,67,0
12.7280435104,62,0
12.7820975771,43,0
12.7820975771,72,0
12.8091246104,36,0
12.8800705729,42,0
12.9341246396,69,0
13.0388543938,60,0
13.0641922375,71,0
13.1182463042,55,0
13.1182463042,71,0
13.1182463042,43,0
13.1723003708,42,0
13.1773679396,65,0
13.1993274042,60,0
13.2533814708,36,0
13.2820976938,65,0
13.4037193438,67,0
13.4476382729,72,0
13.4662193583,69,0
13.5287193729,60,0
13.5574355958,42,0
13.7043950896,67,0
13.7297329333,65,0
13.8716248583,67,0
13.9679086646,40,0
